refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
C452	CAPC3216N____.fp	4n7F	Yageo	CC1206KRX7R9BB472	Conrad	445585	0.14	unknown	unknown	unknown	
R453	RESC3216N____.fp	3k3	Yageo	RC1206JR-073k3L	Conrad	402605	0.10	unknown	unknown	unknown	
C402	CAPC3216N____.fp	10nF	Yageo	CC1206KRX7R9BN103	Conrad	445449	0.14	unknown	unknown	unknown	
R406	RESC3216N____.fp	100k	Yageo	RC1206JR-07100kL	Conrad	402788	0.10	unknown	unknown	unknown	
TP452	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
TP401	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
TP402	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C455	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C454	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C457	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C456	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C459	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C458	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C408	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C409	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C407	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C406	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C404	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
C405	CAPC3216N____.fp	100nF	Yageo	CC1206KRX7R9BB104	Conrad	445273	0.14	unknown	unknown	unknown	
P401	CON-SIL-254P-8N____.fp	unknown	Ratioplast-Electronics	STL120838003	Conrad	739472	0.37	unknown	unknown	unknown	
U453	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U452	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U451	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U403	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U402	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
U401	SOIC127P600X155-8N____.fp	CA3140M	Harris	CA3140M	Conrad	142107	1.59	unknown	unknown	unknown	
R454	TRIM_Panasonic_EVM1D__.fp	5k	Panasonic	EVM1D	Conrad	421028	0.63	unknown	unknown	unknown	
R455	RESC3216N____.fp	180k	Yageo	RC1206JR-07180kL	Conrad	402818	0.10	unknown	unknown	unknown	
R456	RESC3216N____.fp	33k	Yageo	RC1206JR-0733kL	Conrad	402729	0.10	unknown	unknown	unknown	
C451	CAPC3216N____.fp	4n7F	Yageo	CC1206KRX7R9BB472	Conrad	445585	0.14	unknown	unknown	unknown	
R452	RESC3216N____.fp	3k3	Yageo	RC1206JR-073k3L	Conrad	402605	0.10	unknown	unknown	unknown	
R451	RESC3216N____.fp	18k	Yageo	RC1206JR-0718kL	Conrad	402699	0.10	unknown	unknown	unknown	
C403	CAPAE400X530N____.fp	1uF/50V	Samwha	RC1H105M04005VR	Conrad	421551	0.15	unknown	unknown	unknown	
C453	CAPAE400X530N____.fp	1uF/50V	Samwha	RC1H105M04005VR	Conrad	421551	0.15	unknown	unknown	unknown	
R461	TRIM_Panasonic_EVM1D__.fp	10k	Panasonic	EVM1D	Conrad	421041	0.63	unknown	unknown	unknown	
R460	RESC3216N____.fp	1M	Yageo	RC1206JR-071ML	Conrad	402907	0.10	unknown	unknown	unknown	
D453	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D454	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R458	RESC3216N____.fp	15k	Yageo	RC1206JR-0715kL	Conrad	402680	0.10	unknown	unknown	unknown	
R459	RESC3216N____.fp	1k	Yageo	RC1206JR-071kL	Conrad	402540	0.10	unknown	unknown	unknown	
D452	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D451	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R457	RESC3216N____.fp	10k	Yageo	RC1206JR-0710kL	Conrad	402664	0.10	unknown	unknown	unknown	
R411	TRIM_Panasonic_EVM1D__.fp	10k	Panasonic	EVM1D	Conrad	421041	0.63	unknown	unknown	unknown	
R410	RESC3216N____.fp	1M	Yageo	RC1206JR-071ML	Conrad	402907	0.10	unknown	unknown	unknown	
D403	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D404	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R408	RESC3216N____.fp	15k	Yageo	RC1206JR-0715kL	Conrad	402680	0.10	unknown	unknown	unknown	
R409	RESC3216N____.fp	1k	Yageo	RC1206JR-071kL	Conrad	402540	0.10	unknown	unknown	unknown	
D402	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
D401	DIOMELF3216X16N____.fp	LL4148	Diotec	LL4148	Conrad	140902	0.10	unknown	unknown	unknown	
R407	RESC3216N____.fp	10k	Yageo	RC1206JR-0710kL	Conrad	402664	0.10	unknown	unknown	unknown	
R404	TRIM_Panasonic_EVM1D__.fp	5k	Panasonic	EVM1D	Conrad	421028	0.63	unknown	unknown	unknown	
R403	RESC3216N____.fp	3k3	Yageo	RC1206JR-073k3L	Conrad	402605	0.10	unknown	unknown	unknown	
R405	RESC3216N____.fp	100k	Yageo	RC1206JR-07100kL	Conrad	402788	0.10	unknown	unknown	unknown	
C401	CAPC3216N____.fp	10nF	Yageo	CC1206KRX7R9BN103	Conrad	445449	0.14	unknown	unknown	unknown	
R402	RESC3216N____.fp	10k	Yageo	RC1206JR-0710kL	Conrad	402664	0.10	unknown	unknown	unknown	
R401	RESC3216N____.fp	10k	Yageo	RC1206JR-0710kL	Conrad	402664	0.10	unknown	unknown	unknown	
