refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
p3	PIN165X102____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
p4	PIN165X102____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
p1	PIN165X102____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
p2	PIN165X102____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
B	MTG370____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
A	MTG370____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
S202	SW_Apem_5547A__.fp	Apem 5547A	unknown	unknown	Conrad	700391	5.03	unknown	unknown	unknown	
S201	SW_Apem_5546A__.fp	Apem 5546A	unknown	unknown	Conrad	700378	4.46	unknown	unknown	unknown	
P202	CON-SIL-254P-31N____.fp	unknown	unknown	unknown	Conrad	735000	4.13	unknown	unknown	unknown	
J207	CON-HDR-254P-10C-2R-20N_TE_5103309-5__.fp	unknown	unknown	unknown	Conrad	1461046	2.22	unknown	unknown	unknown	
R207	RES1780-1000X390____2W	150 / 2W	unknown	unknown	Radiocentrum	600388	unknown	unknown	unknown	unknown	
D204	LED254-500_Temic_TLLG5400__green.fp	GREEN	unknown	unknown	Conrad	180148	0.21	unknown	unknown	unknown	
R211	RES1270-635X229____0.6W.fp	680	unknown	unknown	Conrad	405230	0.06	unknown	unknown	unknown	
J206	CON-BNC__UG290__flange-modded.fp	UG290U	unknown	unknown	Conrad	740837	1.99	unknown	unknown	unknown	
R201	POT-3N_Weltron_WP20CS-08-60F1-100K-20%-LIN__	100k lin	unknown	unknown	Conrad	440919	1.78	unknown	unknown	unknown	
C201	CAPR508____.fp	680nF / 50V	unknown	unknown	Conrad	1420293	1.10	unknown	unknown	unknown	
